Iterations;Energies;cond(Ai);cond(A0 @ Ai)
1;10;846.5475769108862;1.3206801280980587
2;10;823.7731427739524;1.5043072963592161
3;10;813.8275102893001;1.599358056429085
4;10;809.2987675999955;1.6471795129317324
5;10;807.2633309597184;1.6698339605870338
6;10;806.3363798800049;1.6815600378617315
7;10;805.9062632358277;1.6871105579252756
8;10;805.712800279346;1.689768390079665
9;10;805.6241252874986;1.6910494232061497
10;10;805.5831179077487;1.691674587730253
11;10;805.5641159364977;1.6919829205214856
12;10;805.5553931606352;1.6921341637276721
13;10;805.5514153618193;1.6922075564659247
14;10;805.5495953248055;1.6922430333244427
15;10;805.5487570669784;1.6922602181940287
16;10;805.5483688893213;1.692268582504683
17;10;805.5481884243816;1.6922726772151586
18;10;805.5481042663645;1.6922746939018238
19;10;805.548064906544;1.6922756931184098
20;10;805.5480464642784;1.69227619106429
21;10;805.5480377992925;1.6922764405882023
22;10;805.5480337148634;1.6922765662913053
23;10;805.5480317908354;1.6922766299215453
24;10;805.5480308774701;1.6922766622897103
25;10;805.5480304616375;1.6922766787991426
26;10;805.5480302488726;1.692276687288618
27;10;805.548030130903;1.6922766916822656
28;10;805.5480300969512;1.6922766939201133
29;10;805.5480300503762;1.6922766951230175
30;10;805.548030051095;1.6922766957147541
31;10;805.5480300483446;1.692276696028692
1;11;819.8002607924074;1.313649513933474
2;11;798.5243273651643;1.4929901446717897
3;11;789.2497065972881;1.5857860766082967
4;11;785.0322067976977;1.6324623666107427
5;11;783.1361275559298;1.6545777295733353
6;11;782.2767681219037;1.666016340462457
7;11;781.8750363036886;1.6714349314531045
8;11;781.6947273287678;1.6740289660432583
9;11;781.6120976799741;1.6752792378617385
10;11;781.5738917508402;1.675889423520715
11;11;781.5561917339647;1.6761903889122576
12;11;781.5480677246696;1.6763380163752677
13;11;781.5443631529913;1.6764096493752523
14;11;781.5426682120669;1.6764442735508072
15;11;781.5418876273739;1.6764610449921173
16;11;781.5415261853293;1.6764692081268908
17;11;781.5413581601915;1.6764732044547337
18;11;781.5412798059212;1.6764751727625529
19;11;781.5412431608421;1.6764761480526944
20;11;781.541225989919;1.6764766341011237
21;11;781.5412179214821;1.6764768776776944
22;11;781.5412141175844;1.6764770003916996
23;11;781.541212325491;1.676477062513507
24;11;781.5412114743503;1.6764770941167915
25;11;781.5412110863828;1.6764771102378637
26;11;781.5412108886416;1.676477118526686
27;11;781.5412107790692;1.6764771228161028
28;11;781.5412107469753;1.676477125002528
29;11;781.5412107039652;1.6764771261762645
30;11;781.5412107042852;1.6764771267549543
31;11;781.541210701406;1.6764771270617818
1;12;795.0465517231316;1.3071871473012084
2;12;775.1778698438242;1.4826075660757694
3;12;766.5320559624669;1.5733473847269184
4;12;762.6056521292663;1.6189810626074796
5;12;760.8400483569574;1.6406070689173693
6;12;760.043336959437;1.65178405356847
7;12;759.6682190541009;1.6570837619670071
8;12;759.5001784299069;1.6596203034659254
9;12;759.4231805010312;1.6608429024834268
10;12;759.3875828478232;1.66143963311044
11;12;759.3710936082269;1.6617339887089466
12;12;759.3635247685677;1.6618783771331322
13;12;759.3600725355087;1.6619484365807144
14;12;759.3584927512551;1.661982299644166
15;12;759.3577651377716;1.6619987026461664
16;12;759.357428210527;1.662006686750726
17;12;759.3572715742475;1.6620105956355218
18;12;759.3571985242444;1.6620125209889072
19;12;759.3571643552929;1.6620134750559716
20;12;759.3571483408049;1.6620139505590414
21;12;759.3571408133625;1.6620141888674422
22;12;759.357137263301;1.662014308935165
23;12;759.3571355897782;1.6620143697215635
24;12;759.3571347943283;1.6620144006476494
25;12;759.3571344311698;1.6620144164253248
26;12;759.357134246802;1.6620144245366781
27;12;759.357134144507;1.6620144287339083
28;12;759.3571341140772;1.6620144308743672
29;12;759.3571340742351;1.6620144320222336
30;12;759.3571340741119;1.662014432589605
31;12;759.3571340710963;1.6620144328904642
1;13;772.1294748043081;1.3012433878907017
2;13;753.5794113541153;1.4730735092395304
3;13;745.5219266827427;1.5619351982276841
4;13;741.8674434175306;1.6066179266822638
5;13;740.2238919698649;1.6277988782642854
6;13;739.4851998799514;1.6387373711743345
7;13;739.1350336582562;1.6439297637792978
8;13;738.9784384000718;1.6464144098957525
9;13;738.9066900360651;1.6476120757841624
10;13;738.8735229622403;1.6481967016461094
11;13;738.8581610898851;1.6484851183630287
12;13;738.8511079277422;1.6486266014034021
13;13;738.8478893327804;1.6486952522578324
14;13;738.8464158961128;1.6487284353290441
15;13;738.8457371204131;1.6487445097245579
16;13;738.8454227695249;1.648752334393252
17;13;738.8452766109688;1.6487561655071552
18;13;738.8452084353328;1.6487580527028616
19;13;738.8451765385643;1.6487589879342843
20;13;738.8451615833177;1.6487594540871366
21;13;738.8451545503863;1.6487596877267847
22;13;738.8451512313826;1.6487598054511277
23;13;738.8451496655953;1.6487598650551536
24;13;738.8451489205739;1.6487598953819014
25;13;738.845148579791;1.6487599108557953
26;13;738.8451484072639;1.648759918809694
27;13;738.8451483115086;1.6487599229254906
28;13;738.8451482824643;1.6487599250259541
29;13;738.8451482455583;1.6487599261501358
30;13;738.8451482450013;1.6487599267075796
31;13;738.8451482418614;1.6487599270030733
1;14;750.9008174108415;1.2957711891204362
2;14;733.5846596662924;1.464307367745388
3;14;726.0771567246251;1.5514499607345325
4;14;722.6765312339058;1.5952634740289884
5;14;721.147118893203;1.6160387402194616
6;14;720.4621433116033;1.626759404610909
7;14;720.1353813199984;1.6318547099277902
8;14;719.98947158957;1.634292417659354
9;14;719.9226216494657;1.6354675740032376
10;14;719.8917224676507;1.6360412882216238
11;14;719.8774119559504;1.6363243584989242
12;14;719.8708388024567;1.6364632308077733
13;14;719.8678371383062;1.6365306187725979
14;14;719.8664622531815;1.6365631934846345
15;14;719.8658286844592;1.6365789744280226
16;14;719.8655352183671;1.636586656940491
17;14;719.8653987476987;1.636590418808515
18;14;719.8653350763249;1.6365922720698234
19;14;719.8653052773878;1.6365931905689233
20;14;719.8652912989816;1.6365936484226704
21;14;719.8652847214499;1.6365938779220572
22;14;719.8652816148103;1.6365939935695133
23;14;719.8652801478775;1.636594052126823
24;14;719.8652794488938;1.6365940819224112
25;14;719.8652791284136;1.6365940971272033
26;14;719.865278966625;1.636594104941708
27;14;719.8652788768429;1.6365941089855929
28;14;719.8652788490283;1.636594111050314
29;14;719.8652788146735;1.6365941121541159
30;14;719.865278813758;1.6365941127024053
31;14;719.8652788105911;1.636594112993317
1;15;731.2221409189513;1.2907265119588909
2;15;715.0598403004809;1.4562344022686844
3;15;708.0663176824924;1.5417997231276008
4;15;704.902671920529;1.5848167616009745
5;15;703.4800217803029;1.6052212536453212
6;15;702.8447843879665;1.6157425118673758
7;15;702.5399978978539;1.6207497542885227
8;15;702.4040764318463;1.6231449030591325
9;15;702.3418038963849;1.6242996886114092
10;15;702.3130242786568;1.624863542810415
11;15;702.2996960909599;1.6251417884567017
12;15;702.293570800969;1.6252783095561454
13;15;702.2907711589547;1.6253445629713885
14;15;702.2894879277818;1.6253765923998984
15;15;702.2888963754209;1.625392110822954
16;15;702.2886223162839;1.625399666371967
17;15;702.2884948475066;1.6254033664829752
18;15;702.2884353609361;1.625405189518823
19;15;702.2884075103289;1.6254060931310403
20;15;702.2883944387825;1.6254065436088145
21;15;702.2883882834458;1.6254067694320335
22;15;702.2883853736394;1.6254068832362343
23;15;702.2883839979854;1.6254069408644984
24;15;702.2883833415927;1.6254069701902143
25;15;702.2883830398121;1.625406985156495
26;15;702.2883828878431;1.6254069928480825
27;15;702.288382803447;1.62540699682718
28;15;702.288382776822;1.6254069988608488
29;15;702.288382744749;1.6254069999457572
30;15;702.2883827435223;1.6254070004865788
31;15;702.2883827402851;1.6254070007732444
1;16;712.9651700945926;1.2860685040889437
2;16;697.8817912186297;1.4487858383653514
3;16;691.3688019695237;1.5329001591970954
4;16;688.4265717671889;1.5751853548925476
5;16;687.103922993009;1.5952499726844964
6;16;686.5147819103939;1.605588226394433
7;16;686.2306894568172;1.610515351230926
8;16;686.1041298604193;1.6128718020022303
9;16;686.0461466308408;1.6140080999074673
10;16;686.0193535060621;1.6145630188186368
11;16;686.0069457883261;1.6148368983250245
12;16;686.0012397074038;1.6149712962251686
13;16;685.9986288904764;1.6150365278437753
14;16;685.9974312415038;1.6150680673763878
15;16;685.9968789069628;1.6150833504186988
16;16;685.9966229617488;1.6150907923218831
17;16;685.9965038959473;1.6150944372349183
18;16;685.9964483160385;1.615096233291705
19;16;685.9964222841227;1.6150971236320506
20;16;685.9964100587956;1.6150975675412806
21;16;685.9964042973494;1.6150977900931351
22;16;685.9964015710266;1.6150979022587508
23;16;685.9964002804332;1.6150979590625525
24;16;685.996399663511;1.6150979879702072
25;16;685.9963993791091;1.6150980027255812
26;16;685.9963992362565;1.6150980103078827
27;16;685.9963991568217;1.6150980142299973
28;16;685.9963991312449;1.6150980162354984
29;16;685.9963991013278;1.6150980173042244
30;16;685.996399099826;1.6150980178379533
31;16;685.9963990965101;1.6150980181211907
1;17;696.0118993064475;1.2817595248423688
2;17;681.938656622682;1.4418987595851216
3;17;675.8788968196488;1.524674355608673
4;17;673.7495876895956;1.566285059304167
5;17;673.8281519555077;1.5860371065509957
6;17;673.862497575752;1.5962069434253434
7;17;673.8772756540677;1.6010609321393445
8;17;673.8814199731503;1.6033820820572462
9;17;673.882798029681;1.6045015468279005
10;17;673.8832583817779;1.6050483417543324
11;17;673.883403976209;1.605318257035867
12;17;673.8834454209705;1.6054507315739408
13;17;673.8834551150665;1.605515040197935
14;17;673.8834562274608;1.6055461383384027
15;17;673.8834556098939;1.6055612097432732
16;17;673.8834549997972;1.605568549638793
17;17;673.8834546647761;1.6055721450822122
18;17;673.8834545338273;1.6055739169917715
19;17;673.8834545088695;1.605574795468801
20;17;673.8834545263701;1.6055752335129845
21;17;673.8834545543795;1.6055754531479993
22;17;673.8834545799217;1.605575563853201
23;17;673.8834545993142;1.6055756199225872
24;17;673.8834546126965;1.605575648458803
25;17;673.8834546215189;1.6055756630264384
26;17;673.8834546270652;1.6055756705114286
27;17;673.8834546303419;1.6055756743826113
28;17;673.8834546323328;1.6055756763639
29;17;673.8834546334645;1.6055756774179772
30;17;673.8834546341459;1.605575677945776
31;17;673.8834546344875;1.605575678225381
1;18;680.2557884647558;1.2777650753563385
2;18;674.1827809856543;1.4355158722941286
3;18;674.5357127995319;1.5170524659380913
4;18;674.6891560962018;1.5580395125994657
5;18;674.7662441517803;1.577503079719959
6;18;674.7998216021648;1.58751746542046
7;18;674.8137028719768;1.592304441207975
8;18;674.8174891021475;1.5945932737486619
9;18;674.818611970487;1.5956973559896577
10;18;674.8188958105876;1.5962367371196065
11;18;674.8189258382358;1.5965030396727258
12;18;674.8188947614073;1.5966337655650487
13;18;674.8188604168445;1.596697237545939
14;18;674.8188354926438;1.5967279366502005
15;18;674.8188198070924;1.596742817127547
16;18;674.8188106200644;1.5967500651558093
17;18;674.8188054642865;1.5967536161127978
18;18;674.8188026497737;1.5967553663387604
19;18;674.8188011420509;1.5967562341754145
20;18;674.8188003449241;1.5967566669664912
21;18;674.8187999273591;1.5967568839911492
22;18;674.8187997100523;1.596756993391684
23;18;674.8187995975364;1.596757048805338
24;18;674.8187995393355;1.596757077009691
25;18;674.8187995094115;1.5967570914102327
26;18;674.8187994940331;1.5967570988085107
27;18;674.8187994860323;1.5967571026347291
28;18;674.8187994819214;1.5967571045937607
29;18;674.8187994797402;1.5967571056349448
30;18;674.8187994786825;1.5967571061572885
31;18;674.8187994780744;1.5967571064338992
1;19;674.428308008254;1.2740536773903706
2;19;675.1347556255001;1.4295852056404235
3;19;675.4747668211454;1.509971297239686
4;19;675.6229488721098;1.5503797092856992
5;19;675.6937174599625;1.5695760243003969
6;19;675.7258283816631;1.5794464792220828
7;19;675.7384534618218;1.5841718032932526
8;19;675.7417880185437;1.5864309340035352
9;19;675.7426165955128;1.5875209029168385
10;19;675.7427042814522;1.5880534905180987
11;19;675.742608016279;1.5883164870119462
12;19;675.7424984183311;1.5884456166231113
13;19;675.7424166508666;1.58850832721991
14;19;675.742363772186;1.5885386641633086
15;19;675.7423319331754;1.588553371718193
16;19;675.7423135579767;1.5885605366812008
17;19;675.7423032393616;1.5885640474736968
18;19;675.742297550889;1.588565778148424
19;19;675.7422944548656;1.588566636404872
20;19;675.7422927848799;1.5885670644716616
21;19;675.7422918897705;1.5885672791519965
22;19;675.7422914120817;1.588567387382067
23;19;675.7422911579916;1.5885674422076468
24;19;675.7422910229828;1.5885674701162444
25;19;675.7422909514818;1.5885674843666284
26;19;675.7422909136411;1.5885674916878472
27;19;675.742290893487;1.5885674954732898
28;19;675.7422908828271;1.5885674974128103
29;19;675.7422908771204;1.5885674984421136
30;19;675.7422908741621;1.5885674989594811
31;19;675.7422908725258;1.5885674992338084
1;20;675.3955233538798;1.2705967189819112
2;20;676.0797218540886;1.4240597789089913
3;20;676.4038113652465;1.5033738660810207
4;20;676.5459641980854;1.5432434962047976
5;20;676.6095417654957;1.5621912449061521
6;20;676.6398946013649;1.571928006006265
7;20;676.6511355459734;1.5765963651775128
8;20;676.6539942965284;1.5788280832136565
9;20;676.6545157941657;1.5799050469868108
10;20;676.654397791188;1.5804313815166953
11;20;676.6541682049234;1.5806913388336088
12;20;676.653975285931;1.5808190046707626
13;20;676.6538429929866;1.5808810192761469
14;20;676.6537602295344;1.5809110260540784
15;20;676.653711073123;1.5809255762811298
16;20;676.6536828257395;1.5809326657899485
17;20;676.6536669502096;1.5809361401483073
18;20;676.6536581642549;1.580937853111947
19;20;676.6536533545614;1.5809387027007649
20;20;676.6536507419193;1.5809391264993045
21;20;676.6536493307118;1.5809393390641056
22;20;676.6536485714571;1.580939446239327
23;20;676.6536481641714;1.5809395005365634
24;20;676.6536479460707;1.5809395281774186
25;20;676.6536478295145;1.580939542293938
26;20;676.6536477672688;1.5809395495456373
27;20;676.6536477339936;1.580939553295027
28;20;676.653647716253;1.5809395552175065
29;20;676.6536477066724;1.5809395562356625
30;20;676.653647701667;1.5809395567491902
31;20;676.6536476989119;1.5809395570212075
1;21;676.3615762387243;1.2673682842694518
2;21;677.0179335142259;1.4188972570143623
3;21;677.3234774731156;1.4972089474640893
4;21;677.4591151142806;1.536575064092605
5;21;677.5146990943866;1.5552906812989233
6;21;677.5430285272727;1.5649028498718847
7;21;677.5527911433344;1.5695183361898757
8;21;677.5551650704367;1.571724641909892
9;21;677.5553744066391;1.572789566091763
10;21;677.5550448518519;1.5733101172785076
11;21;677.5546765526204;1.5735672670237104
12;21;677.5543962057128;1.5736935839639912
13;21;677.5542105618563;1.5737549591951527
14;21;677.5540960841927;1.573784663456244
15;21;677.5540284773431;1.573799069803087
16;21;677.5539896791412;1.5738060904065223
